Title,Time,Artist,Album,Genre,Loved,Rating,Plays,Date Added,Last Played
Anon: Hail Mary Full Of Grace,4:11,Martin Best Medieval Ensemble,Thys Yool - A Medieval Christmas,Classical,0,,,30/06/15 23:58,31/12/03 22:23
I Honestly Love You,3:26,Juliana Hatfield,Juliana Hatfield Sings Olivia Newton-John,Indie Pop,0,,4,26/01/19 23:06,21/01/22 20:44
Venia,6:25,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,4,09/02/18 23:21,21/01/22 17:36
Saccades,6:01,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:30
You Mean More to Me Than Any Scientific Truth,2:39,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:24
Unbreakable Silence,3:37,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:21
Hydrogen Sulfide,2:12,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:18
Cruel Miracles,3:50,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:15
Reyja,5:05,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 17:12
Snow,1:01,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 16:47
Simulacra II,7:37,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,5,09/02/18 23:21,21/01/22 16:46
Simulacra I,5:35,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,6,09/02/18 23:21,21/01/22 16:39
"We Don't Need Other Worlds, We Need Mirrors",2:11,Ben Frost & Daniel Bjarnason,Sólaris,Alternative,0,,6,09/02/18 23:21,21/01/22 16:33
All Night,3:33,Marika Hackman,Covers,Alternative,0,,22,29/11/20 18:32,21/01/22 16:31
In Undertow,3:18,Marika Hackman,Covers,Alternative,2,,25,29/11/20 18:32,21/01/22 16:27
Temporary Loan,3:56,Marika Hackman,Covers,Alternative,2,,27,29/11/20 18:32,21/01/22 16:24
Between the Bars,2:36,Marika Hackman,Covers,Alternative,0,,26,29/11/20 18:32,21/01/22 16:20
Pink Light,3:25,Marika Hackman,Covers,Alternative,2,,26,29/11/20 18:32,21/01/22 16:17
Jupiter 4,3:46,Marika Hackman,Covers,Alternative,0,,25,29/11/20 18:32,21/01/22 16:14
Realiti,3:07,Marika Hackman,Covers,Alternative,0,,24,29/11/20 18:32,21/01/22 16:01
Playground Love,2:28,Marika Hackman,Covers,Alternative,2,,26,29/11/20 18:32,21/01/22 15:57
Phantom Limb,3:11,Marika Hackman,Covers,Alternative,0,,30,29/11/20 18:32,21/01/22 15:55
You Never Wash Up After Yourself,1:35,Marika Hackman,Covers,Alternative,2,,24,29/11/20 18:32,21/01/22 15:52
Where No Eagles Fly,3:44,The Voidz,Tyranny,IDM/Experimental,0,,1,21/01/20 0:22,21/01/22 14:48
Take Me in Your Army,4:21,The Voidz,Tyranny,IDM/Experimental,0,,2,21/01/20 0:22,21/01/22 14:44
Xerox,5:05,The Voidz,Tyranny,IDM/Experimental,0,,1,21/01/20 0:22,21/01/22 14:40
Johan Von Bronx,6:01,The Voidz,Tyranny,IDM/Experimental,0,,1,21/01/20 0:22,21/01/22 14:35
Something 4 the Weekend,2:50,Super Furry Animals,Fuzzy Logic,Pop,0,,1,21/01/22 14:21,21/01/22 14:29
Dare I Care,6:25,The Voidz,Tyranny,IDM/Experimental,0,,5,20/01/20 23:22,21/01/22 14:26
M.utally A.ssured D.estruction,2:33,The Voidz,Tyranny,IDM/Experimental,0,,3,20/01/20 23:22,21/01/22 14:19
Shoot the Singer (1 Sick Verse),3:15,Pavement,"Watery, Domestic - EP",Alternative,0,,1,01/10/19 19:19,21/01/22 14:13
Lions (Linden),1:50,Pavement,"Watery, Domestic - EP",Alternative,0,,1,01/10/19 19:19,21/01/22 14:10
Frontwards,3:16,Pavement,"Watery, Domestic - EP",Alternative,2,,2,01/10/19 19:19,21/01/22 14:08
Texas Never Whispers,3:09,Pavement,"Watery, Domestic - EP",Alternative,2,,1,01/10/19 19:19,21/01/22 14:05
Sing unto God,6:05,"Jonathan Arnold, Magdalen College Choir, Oxford, Phantasm & Daniel Hyde",Tomkins: Anthems & Canticles,Classical,0,,3,15/06/19 12:38,21/01/22 14:02
Tibi Laus,3:04,"Michael Leighton Jones & The Choir of Trinity College, Melbourne",O Blessed Light,Classical,0,,3,16/06/19 18:24,21/01/22 13:55
Lamento for 2,2:34,John Holloway & Monika Baer,Pavans and Fantasies from the Age of Dowland,Classical,0,,1,16/06/19 18:22,21/01/22 13:52
"Fantasia (Musica Britannica, Vol. 14, No. 12)",6:17,Alan Feinberg,Basically Bull,Classical,0,,1,06/12/20 11:46,21/01/22 13:50
See How Cawood’s Dragon Looks,2:03,The Ebor Singers & Paul Gameson,Music for Troubled Times: The English Civil War & Siege of York,Classical,0,,1,06/12/20 11:44,21/01/22 13:44
Mille regretz,1:57,Amarcord,The Book of Madrigals,Classical,0,,1,16/06/19 18:22,21/01/22 13:41
